ID,overall
9470,24-26
100812,24-26
151688,24-26
155710,24-26
192731,24-26
192879,24-26
207842,24-26
216553,24-26
219407,24-26
265203,24-26
277506,24-26
282269,24-26
445168,24-26
476271,24-26
498684,24-26
508128,34-36
514171,24-26
514483,24-26
566970,24-26
584768,14-16
587659,24-26
615945,24-26
619488,24-26
640484,24-26
669514,24-26
673235,24-26
676659,24-26
688869,24-26
690043,24-26
691951,24-26
698314,24-26
732095,24-26
751740,24-26
761044,24-26
769349,24-26
786829,24-26
813893,24-26
814486,24-26
815748,24-26
844074,24-26
851693,24-26
869292,24-26
870139,24-26
925742,24-26
944400,24-26
951136,24-26
993945,24-26
994616,24-26
1055228,24-26
1068622,24-26
1076134,24-26
1077954,24-26
1078077,24-26
1079521,24-26
1083777,24-26
1088145,24-26
1091574,24-26
1098293,24-26
1103575,24-26
1113052,24-26
1113692,24-26
1134486,24-26
1135724,24-26
1137273,24-26
1137547,24-26
1145753,24-26
1151815,24-26
1180573,24-26
1207055,24-26
1233335,24-26
1233897,24-26
1244732,24-26
1258907,24-26
1273538,24-26
1283349,24-26
1289910,24-26
1295754,24-26
1350461,24-26
1355143,24-26
1359229,24-26
1363208,24-26
1366984,24-26
1399489,24-26
1406988,24-26
1425881,24-26
1429393,24-26
1429767,24-26
1453177,24-26
1462207,24-26
1463590,24-26
1492818,24-26
1503551,24-26
1509245,24-26
1519254,24-26
1526231,24-26
1527446,24-26
1544534,24-26
1549052,24-26
1558288,24-26
1602641,24-26
1604213,24-26
1617789,24-26
1632855,24-26
1636651,24-26
1637100,24-26
1646668,24-26
1652671,24-26
1656799,24-26
1657422,24-26
1666711,24-26
1675646,24-26
1682626,24-26
1697732,24-26
1723857,24-26
1727585,24-26
1744608,24-26
1751597,24-26
1755542,24-26
1756743,24-26
1771307,24-26
1782898,14-16
1786023,24-26
1786125,24-26
1798668,24-26
1798678,24-26
1815939,24-26
1818242,24-26
1818327,24-26
1826722,24-26
1842049,24-26
1850222,24-26
1861417,24-26
1868600,24-26
1897606,24-26
1904312,24-26
1915675,24-26
1933973,24-26
1937773,24-26
1951423,24-26
1960271,24-26
1977468,24-26
1980443,24-26
2046767,24-26
2048841,24-26
2081563,24-26
2100479,24-26
2115866,24-26
2140839,24-26
2155344,24-26
2169579,24-26
2173787,24-26
2174353,24-26
2177534,24-26
2181683,24-26
2209219,24-26
2210915,24-26
2224717,24-26
2259125,24-26
2276755,24-26
2282143,24-26
2283121,24-26
2293441,24-26
2338053,24-26
2340073,24-26
2365974,24-26
2383317,24-26
2400509,24-26
2414493,24-26
2420289,24-26
2456863,24-26
2482089,24-26
2496105,24-26
2498027,24-26
2511455,24-26
2517325,24-26
2529236,24-26
2538919,24-26
2542134,24-26
2543830,24-26
2562241,24-26
2565326,24-26
2572049,24-26
2572215,24-26
2577859,24-26
2591513,24-26
2596124,24-26
2597433,24-26
2617682,24-26
2641696,24-26
2645566,24-26
2680773,24-26
2681786,24-26
2685983,24-26
2701518,24-26
2705472,24-26
2705696,24-26
2708832,24-26
2710453,24-26
2711330,24-26
2711915,24-26
2717718,24-26
2748473,24-26
2781029,24-26
2783233,24-26
2784121,24-26
2787343,24-26
2802337,24-26
2814357,24-26
2817011,24-26
2835115,24-26
2835154,24-26
2845196,24-26
2869197,24-26
2884661,24-26
2906530,24-26
2915945,24-26
2922061,24-26
2930886,24-26
2945207,24-26
2949127,24-26
2952363,24-26
2954767,24-26
2955971,24-26
2962406,24-26
2965239,24-26
2974594,24-26
2980485,24-26
2987469,24-26
2994342,24-26
3008891,24-26
3009243,24-26
3018199,24-26
3032847,24-26
3033260,24-26
3034755,24-26
3035529,24-26
3036872,24-26
3042112,24-26
3047815,24-26
3064813,24-26
3083894,24-26
3084647,24-26
3093675,24-26
3095325,24-26
3096879,24-26
3126253,24-26
3127881,24-26
3128388,24-26
3130845,24-26
3133863,24-26
